Id,Name,Surname,Initials,Age,DateOfBirth
1,Sophia,Nkosi,S,59,16/11/1965
2,Grace,de Villiers,G,21,02/10/2004
3,James,Steyn,J,40,11/07/1985
4,Maria,Botha,M,59,26/11/1965
5,Anna Maria,Sithole,AM,70,04/02/1955
6,Christopher,Williams,C,75,07/08/1950
7,Maria,de Villiers,M,64,14/06/1961
8,Maria,Sithole,M,37,03/03/1988
9,Chloe,Botha,C,61,12/02/1964
10,James,Khumalo,J,33,21/06/1992
11,Chloe,van der Merwe,C,23,29/12/2001
12,Daniel,Mahlangu,D,57,20/06/1968
13,Anna Maria Teresa,Naidoo,AMT,23,11/11/2001
14,Jean-Luc,Zulu,J,44,04/11/1981
15,Sophia,Sithole,S,75,27/02/1950
16,Daniel,Petersen,D,51,12/03/1974
17,Michael,Sithole,M,80,04/09/1945
18,Emma,Nkosi,E,72,14/12/1952
19,Anna Maria,Pillay,AM,65,20/09/1960
20,Maria,Khumalo,M,22,11/12/2002
21,Mary Anne,Mokoena,MA,33,13/12/1991
22,Mary Anne,Ndlovu,MA,49,23/05/1976
23,Anna Maria Teresa,Zulu,AMT,29,18/12/1995
24,Maria,Mthembu,M,30,07/07/1995
25,Michael,Ndlovu,M,56,05/12/1968
26,Sophia,Ndlovu,S,27,26/06/1998
27,Juan Carlos,de Villiers,JC,50,06/01/1975
28,David,Khumalo,D,66,22/03/1959
29,Maria,Mahlangu,M,49,10/12/1975
30,Chloe,Khumalo,C,19,05/06/2006
31,Liam,van der Merwe,L,18,25/07/2007
32,Mary Anne,Botha,MA,34,17/03/1991
33,Jean-Luc,Petersen,J,79,16/09/1946
34,Olivia,Mahlangu,O,47,12/02/1978
35,Olivia,Naidoo,O,72,18/10/1953
36,Daniel,Mahlangu,D,55,01/03/1970
37,Maria,Ndlovu,M,56,05/08/1969
38,Mary Anne,Khumalo,MA,41,03/06/1984
39,Daniel,Pillay,D,27,01/07/1998
40,Maria,Zulu,M,26,26/07/1999
41,Jean-Luc,Coetzee,J,36,05/09/1989
42,David,Naidoo,D,44,04/07/1981
43,Michael,Coetzee,M,75,08/05/1950
44,Mary Anne,Botha,MA,45,06/07/1980
45,Daniel,Coetzee,D,26,21/06/1999
46,Daniel,Nkosi,D,29,25/10/1996
47,Anna Maria,Nkosi,AM,22,22/06/2003
48,Grace,Pillay,G,54,07/08/1971
49,Michael,Jacobs,M,76,19/04/1949
50,Daniel,Steyn,D,63,17/02/1962
51,Sarah,Botha,S,45,10/04/1980
52,Emma,Pillay,E,67,22/10/1958
53,Emma,Naidoo,E,76,02/10/1949
54,David,Khumalo,D,76,29/04/1949
55,Sophia,Pillay,S,19,06/12/2005
56,Mary Anne,Botha,MA,77,28/04/1948
57,Sarah,Coetzee,S,77,31/12/1947
58,Grace,Petersen,G,61,05/08/1964
59,Christopher,Botha,C,44,10/08/1981
60,Sarah,de Villiers,S,65,27/03/1960
61,Olivia,Khumalo,O,37,27/01/1988
62,Sarah,Jacobs,S,24,21/05/2001
63,Sophia,Williams,S,52,29/12/1972
64,Jean-Luc,Coetzee,J,55,14/04/1970
65,Chloe,Khumalo,C,59,17/10/1966
66,Jean-Luc,Petersen,J,24,11/12/2000
67,Sarah,van der Merwe,S,61,24/02/1964
68,Michael,Sithole,M,78,29/06/1947
69,Juan Carlos,Mokoena,JC,69,28/09/1956
70,Mary Anne,van der Merwe,MA,61,05/01/1964
71,Michael,Naidoo,M,23,23/12/2001
72,Emily,Botha,E,31,21/03/1994
73,Christopher,Dlamini,C,20,04/02/2005
74,Michael,van der Merwe,M,36,04/06/1989
75,Anna Maria Teresa,Naidoo,AMT,23,04/07/2002
76,Emma,Nkosi,E,40,03/10/1985
77,Grace,Naidoo,G,72,20/11/1952
78,Michael,Botha,M,23,16/07/2002
79,Liam,Botha,L,22,17/12/2002
80,Olivia,Mthembu,O,68,08/10/1957
81,Emily,Ndlovu,E,67,04/06/1958
82,Olivia,Mokoena,O,56,28/11/1968
83,Daniel,Khumalo,D,35,17/01/1990
84,David,Coetzee,D,53,11/10/1972
85,Emily,Pillay,E,55,28/01/1970
86,Olivia,de Villiers,O,54,13/06/1971
87,Sophia,Zulu,S,79,05/06/1946
88,Anna Maria,Ndlovu,AM,26,17/01/1999
89,Maria,Zulu,M,75,28/02/1950
90,Maria,Mthembu,M,18,18/10/2007
91,Grace,Naidoo,G,52,25/09/1973
92,John,Petersen,J,71,07/03/1954
93,Emma,Khumalo,E,37,10/11/1987
94,Juan Carlos,van der Merwe,JC,58,16/01/1967
95,Maria,Adams,M,80,10/05/1945
96,John,Ndlovu,J,39,18/10/1986
97,Grace,Dlamini,G,50,03/02/1975
98,Liam,Coetzee,L,48,23/07/1977
99,Grace,Sithole,G,61,27/06/1964
100,Chloe,Nkosi,C,34,19/06/1991
